Episode,Average Number of steps,Mean Reward
0,0.01,-0.09
1000,14.0,-87.5
2000,14.0,-88.13
3000,14.0,-89.03
4000,14.0,-87.695
5000,14.0,-87.62
6000,14.0,-86.75
7000,14.0,-86.585
8000,14.0,-88.205
9000,14.0,-86.06
10000,14.0,-86.6
11000,14.0,-81.665
12000,14.0,-75.575
13000,14.0,-69.2
14000,14.0,-61.28
15000,14.0,-56.045
16000,14.0,-47.945
17000,14.0,-43.04
18000,14.0,-37.595
19000,14.0,-34.07
20000,14.0,-27.785
21000,14.0,-24.53
22000,14.0,-18.8
23000,14.0,-12.275
24000,14.0,-10.835
25000,14.0,-6.365
26000,14.0,-3.275
27000,14.0,0.79
28000,14.0,4.825
29000,14.0,6.865
30000,14.0,9.595
31000,14.0,12.55
32000,14.0,17.125
33000,14.0,18.67
34000,14.0,20.8
35000,14.0,26.05
36000,14.0,26.11
37000,14.0,27.205
38000,14.0,30.04
39000,14.0,31.87
40000,14.0,33.475
41000,14.0,36.34
42000,14.0,37.84
43000,14.0,39.205
44000,14.0,40.735
45000,14.0,41.395
46000,14.0,43.645
47000,14.0,44.02
48000,14.0,45.34
49000,14.0,47.44
50000,14.0,48.565
51000,14.0,49.0
52000,14.0,51.37
53000,14.0,51.205
54000,14.0,51.385
55000,14.0,53.515
56000,14.0,53.425
57000,14.0,53.875
58000,14.0,55.795
59000,14.0,55.45
60000,14.0,56.755
61000,14.0,57.835
62000,14.0,57.4
63000,14.0,58.36
64000,14.0,59.185
65000,14.0,59.08
66000,14.0,59.815
67000,14.0,60.655
68000,14.0,61.465
69000,14.0,61.3
70000,14.0,61.84
71000,14.0,62.095
72000,14.0,62.155
73000,14.0,62.005
74000,14.0,61.615
75000,14.0,62.185
