Episode,Average Number of steps,Mean Reward
0,0.008,-0.035
1000,8.0,-50.27
2000,8.0,-50.675
3000,8.0,-49.115
4000,8.0,-50.6
5000,8.0,-51.035
6000,8.0,-49.985
7000,8.0,-49.79
8000,8.0,-49.34
9000,8.0,-50.33
10000,8.0,-50.24
11000,8.0,-48.455
12000,8.0,-43.685
13000,8.0,-39.245
14000,8.0,-35.87
15000,8.0,-31.28
16000,8.0,-29.435
17000,8.0,-24.815
18000,8.0,-22.925
19000,8.0,-19.91
20000,8.0,-15.8
21000,8.0,-12.845
22000,8.0,-10.82
23000,8.0,-8.885
24000,8.0,-5.75
25000,8.0,-3.95
26000,8.0,-1.625
27000,8.0,0.865
28000,8.0,2.125
29000,8.0,3.97
30000,8.0,5.35
31000,8.0,8.155
32000,8.0,8.905
33000,8.0,10.99
34000,8.0,11.38
35000,8.0,11.86
36000,8.0,15.205
37000,8.0,16.66
38000,8.0,16.555
39000,8.0,19.735
40000,8.0,19.165
41000,8.0,20.17
42000,8.0,20.905
43000,8.0,22.495
44000,8.0,22.795
45000,8.0,24.19
46000,8.0,24.1
47000,8.0,25.045
48000,8.0,26.545
49000,8.0,26.38
50000,8.0,28.135
51000,8.0,28.915
52000,8.0,29.245
53000,8.0,29.995
54000,8.0,29.125
55000,8.0,30.22
56000,8.0,30.415
57000,8.0,30.85
58000,8.0,31.42
59000,8.0,32.05
60000,8.0,32.47
61000,8.0,32.8
62000,8.0,33.205
63000,8.0,33.385
64000,8.0,33.16
65000,8.0,33.985
66000,8.0,34.345
67000,8.0,34.555
68000,8.0,35.11
69000,8.0,35.47
70000,8.0,35.455
71000,8.0,35.245
72000,8.0,35.77
73000,8.0,34.855
74000,8.0,35.2
75000,8.0,35.47
76000,8.0,35.845
77000,8.0,35.56
78000,8.0,35.125
79000,8.0,35.26
80000,8.0,35.245
81000,8.0,35.26
82000,8.0,35.725
83000,8.0,35.215
84000,8.0,35.515
85000,8.0,35.785
86000,8.0,34.96
87000,8.0,35.71
88000,8.0,35.41
89000,8.0,35.44
90000,8.0,35.53
91000,8.0,35.335
92000,8.0,35.8
93000,8.0,35.845
94000,8.0,35.905
95000,8.0,35.755
96000,8.0,35.62
97000,8.0,35.575
98000,8.0,35.59
99000,8.0,35.395
100000,8.0,35.8
101000,8.0,35.26
102000,8.0,35.47
103000,8.0,35.185
104000,8.0,35.11
105000,8.0,35.575
106000,8.0,35.59
107000,8.0,35.05
108000,8.0,35.8
109000,8.0,35.59
110000,8.0,35.755
111000,8.0,35.92
112000,8.0,35.41
113000,8.0,35.455
114000,8.0,35.5
115000,8.0,35.755
116000,8.0,35.515
117000,8.0,35.41
118000,8.0,35.62
119000,8.0,34.99
120000,8.0,35.185
121000,8.0,36.265
122000,8.0,35.515
123000,8.0,35.245
124000,8.0,35.245
125000,8.0,35.155
126000,8.0,35.695
127000,8.0,35.575
128000,8.0,35.68
129000,8.0,35.23
130000,8.0,35.59
131000,8.0,35.425
132000,8.0,35.095
133000,8.0,35.35
134000,8.0,35.77
135000,8.0,35.545
136000,8.0,34.855
137000,8.0,35.2
138000,8.0,36.085
139000,8.0,35.83
140000,8.0,35.17
141000,8.0,35.755
142000,8.0,35.365
143000,8.0,35.545
144000,8.0,35.95
145000,8.0,35.5
146000,8.0,35.995
147000,8.0,35.605
148000,8.0,35.59
149000,8.0,35.32
150000,8.0,35.365
